name,standardized_name
Thomas Rippl,Thomas Tippl
Tien Tsin Huang,Tien-Tsin Huang
Tien-tsin Huang,Tien-Tsin Huang
Tim Klasell,Tim E. Klasell
Tim Klasell MBA,Tim E. Klasell
Tim Klassel,Tim E. Klasell
Tim Fox,Timothy Fox
Tim J. McHugh,Timothy J. McHugh
Timothy Mchugh,Timothy J. McHugh
Timothy McHugh,Timothy J. McHugh
Tim K. Horan,Timothy K. Horan
Timothy Horan,Timothy K. Horan
Tim O'shea,Timothy L. O'Shea
Tim O'Shea,Timothy L. O'Shea
Timothy Larkin O'shea,Timothy L. O'Shea
Timothy Larkin O'Shea,Timothy L. O'Shea
Timothy O'Shea,Timothy L. O'Shea
Tim Willi,Timothy W. Willi
Timothy Wayne Willi,Timothy W. Willi
Timothy Willi,Timothy W. Willi
Todd Raker,Todd D. Raker
Tom Carl Ernst,Tom C. Ernst
Tom Ernst,Tom C. Ernst
Tom Roderick,Tom M. Roderick
Tom Diffely,Tom R. Diffely
Tom Diffely MBA,Tom R. Diffely
Toni Kaplan,Toni M. Kaplan
Trip Chowdhry,Trip S. Chowdhry
Vijay Bhagavath,Vijay K. Bhagavath
Walter Pritchard,Walter H. Pritchard
Warren Jenson,Warren C. Jenson
William Arthur Warmington,William A. Warmington
William Foley,William P. Foley
William Foley II,William P. Foley
"William Foley, II",William P. Foley
"William V. Power, CFA",William V. Power
Will V. Power,William V. Power
Yun Kim,Yun S. Kim
Yung Rok Kim,Yung R. Kim
Zachary William Sopcak,Zachary W. Sopcak
Zane Chrane,Zane Brandon Chrane
Zane Burke,Zane M. Burke
"TC Robillard, Jr.","T.C. Robillard, Jr."
"B. Thomas Golisano, Chairman",B. Thomas Golisano
"E. H. Devanny, III","Earl Devanny, III"
"Matthew D. Gillmor, CFA",Matthew D. Gillmor
"Jeff Van Rhee, CFA",Jeff Van Rhee
